Country name,Ladder score
Finland,7.804
Denmark,7.586
Iceland,7.530
Israel,7.473
Netherlands,7.403
Sweden,7.395
Norway,7.315
Switzerland,7.240
Luxembourg,7.228
New Zealand,7.123
Austria,7.097
Australia,7.095
Canada,6.961
Ireland,6.911
United States,6.894
Germany,6.892
Belgium,6.859
Czechia,6.845
United Kingdom,6.796
Lithuania,6.763
France,6.661
Slovenia,6.650
Costa Rica,6.609
Romania,6.589
Singapore,6.587
United Arab Emirates,6.571
Taiwan Province of China,6.535
Uruguay,6.494
Slovakia,6.469
Saudi Arabia,6.463
Estonia,6.455
Spain,6.436
Italy,6.405
Kosovo,6.368
Chile,6.334
Mexico,6.330
Malta,6.300
Panama,6.265
Poland,6.260
Nicaragua,6.259
Latvia,6.213
Bahrain,6.173
Guatemala,6.150
Kazakhstan,6.144
Serbia,6.144
Cyprus,6.130
Japan,6.129
Croatia,6.125
Brazil,6.125
El Salvador,6.122
Hungary,6.041
Argentina,6.024
Honduras,6.023
Uzbekistan,6.014
Malaysia,6.012
Portugal,5.968
South Korea,5.951
Greece,5.931
Mauritius,5.902
Thailand,5.843
Mongolia,5.840
Kyrgyzstan,5.825
Moldova,5.819
China,5.818
Vietnam,5.763
Paraguay,5.738
Montenegro,5.722
Jamaica,5.703
Bolivia,5.684
Russia,5.661
Bosnia and Herzegovina,5.633
Colombia,5.630
Dominican Republic,5.569
Ecuador,5.559
Peru,5.526
Philippines,5.523
Bulgaria,5.466
Nepal,5.360
Armenia,5.342
Tajikistan,5.330
Algeria,5.329
Hong Kong S.A.R. of China,5.308
Albania,5.277
Indonesia,5.277
South Africa,5.275
Congo (Brazzaville),5.267
North Macedonia,5.254
Venezuela,5.211
Laos,5.111
Georgia,5.109
Guinea,5.072
Ukraine,5.071
Ivory Coast,5.053
Gabon,5.035
Nigeria,4.981
Cameroon,4.973
Mozambique,4.954
Iraq,4.941
State of Palestine,4.908
Morocco,4.903
Iran,4.876
Senegal,4.855
Mauritania,4.724
Burkina Faso,4.638
Namibia,4.631
Turkiye,4.614
Ghana,4.605
Pakistan,4.555
Niger,4.501
Tunisia,4.497
Kenya,4.487
Sri Lanka,4.442
Uganda,4.432
Chad,4.397
Cambodia,4.393
Benin,4.374
Myanmar,4.372
Bangladesh,4.282
Gambia,4.279
Mali,4.198
Egypt,4.170
Togo,4.137
Jordan,4.120
Ethiopia,4.091
Liberia,4.042
India,4.036
Madagascar,4.019
Zambia,3.982
Tanzania,3.694
Comoros,3.545
Malawi,3.495
Botswana,3.435
Congo (Kinshasa),3.207
Zimbabwe,3.204
Sierra Leone,3.138
Lebanon,2.392
Afghanistan,1.859
          
